episode,score,max_tile,time
256,1160,6,11.052722930908203
257,5704,9,11.1245698928833
258,2268,7,11.163814783096313
259,3060,8,11.208441019058228
260,4316,8,11.269308805465698
261,2612,8,11.308887004852295
262,1888,7,11.343796968460083
263,1436,7,11.36946988105774
264,2592,8,11.409479856491089
265,3532,8,11.462733030319214
266,2488,8,11.500937938690186
267,3068,8,11.545983791351318
268,2516,8,11.584536075592041
269,2788,7,11.631129026412964
270,2844,8,11.675578117370605
271,3504,8,11.72781777381897
272,3964,8,11.78611707687378
273,1180,7,11.8087317943573
274,3400,8,11.85929012298584
275,5332,9,11.924661874771118
276,2672,7,11.968688726425171
277,1652,7,11.998212099075317
278,6212,9,12.078350067138672
279,1780,7,12.110116004943848
280,3640,8,12.162508964538574
281,2220,8,12.194819927215576
282,3716,8,12.249846935272217
283,1924,7,12.283777952194214
284,3552,8,12.337760925292969
285,1784,7,12.369532823562622
286,3208,8,12.41725778579712
287,2084,7,12.451447010040283
288,3120,8,12.496925830841064
289,5308,9,12.561639785766602
290,1052,6,12.584030866622925
291,576,6,12.598339080810547
292,2624,7,12.641770839691162
293,1460,7,12.669350147247314
294,4208,8,12.730410814285278
295,1704,7,12.761921882629395
296,2624,8,12.802917003631592
297,1964,7,12.838277816772461
298,1696,7,12.869296073913574
299,1628,7,12.89841079711914
300,1600,7,12.928517818450928
301,3148,8,12.975162982940674
302,3364,8,13.024520874023438
303,5552,9,13.094467878341675
304,1056,6,13.11682391166687
305,1848,7,13.151498794555664
306,1480,7,13.179005861282349
307,2676,8,13.21914005279541
308,4156,8,13.28021788597107
309,5508,9,13.350920915603638
310,2508,8,13.389646053314209
311,6732,9,13.472301959991455
312,4600,9,13.528014898300171
313,2720,8,13.570498943328857
314,1908,7,13.605822801589966
315,1628,7,13.63708782196045
316,2296,7,13.676044940948486
317,2348,8,13.710375785827637
318,844,6,13.729501962661743
319,2988,8,13.773578882217407
320,3516,8,13.826026916503906
321,5480,9,13.89471983909607
322,3332,8,13.943290948867798
323,1716,7,13.973353862762451
324,3416,8,14.023859977722168
325,2764,8,14.065958738327026
326,1936,7,14.099159002304077
327,1776,7,14.131862878799438
328,1340,7,14.156705856323242
329,3640,8,14.211347818374634
330,3320,8,14.262232065200806
331,2144,7,14.298536777496338
332,1540,7,14.326849937438965
333,6956,9,14.41322112083435
334,4104,8,14.473197937011719
335,1624,7,14.504029750823975
336,3504,8,14.554532051086426
337,3428,8,14.606182098388672
338,3224,8,14.653913974761963
339,2808,8,14.69745397567749
340,2908,8,14.740823984146118
341,5640,9,14.811771869659424
342,4172,8,14.872438907623291
343,3164,8,14.919621706008911
344,2036,7,14.955425024032593
345,1684,7,14.985541820526123
346,3692,8,15.041239976882935
347,1608,7,15.070790767669678
348,3204,8,15.118959903717041
349,5728,9,15.194655895233154
350,1028,6,15.217040061950684
351,4260,8,15.279967784881592
352,3848,8,15.335632801055908
353,2952,8,15.380149841308594
354,1924,7,15.415185928344727
355,3044,8,15.459831953048706
356,3204,8,15.508127927780151
357,3532,8,15.561965942382812
358,1904,7,15.596118927001953
359,1084,6,15.628353834152222
360,2496,8,15.667614936828613
361,2832,8,15.711586952209473
362,3208,8,15.759369850158691
363,6452,9,15.841017007827759
364,2228,7,15.87975287437439
365,3816,8,15.934850931167603
366,3356,8,15.98401689529419
367,1396,7,16.010225772857666
368,3320,8,16.05951189994812
369,1960,7,16.0968918800354
370,1528,7,16.12528085708618
371,1640,7,16.154955863952637
372,3068,8,16.202821731567383
373,828,6,16.221585750579834
374,1524,7,16.25096583366394
375,3424,8,16.302161931991577
376,2440,8,16.339719772338867
377,2692,8,16.38165283203125
378,1796,7,16.414438009262085
379,3172,8,16.46048092842102
380,2424,7,16.501569032669067
381,1780,7,16.534100770950317
382,2224,7,16.571971893310547
383,2196,7,16.609275102615356
384,3224,8,16.65816378593445
385,3328,8,16.707013845443726
386,1304,7,16.732335090637207
387,3172,8,16.779989004135132
388,2280,7,16.81821584701538
389,2412,8,16.85412096977234
390,1272,7,16.87877607345581
391,2352,7,16.91869306564331
392,3428,8,16.971736907958984
393,3332,8,17.021708011627197
394,1688,7,17.05251693725586
395,4204,8,17.113819122314453
396,2452,8,17.15450167655945
397,2564,8,17.19830894470215
398,3300,8,17.251041889190674
399,1476,7,17.280191898345947
400,3332,8,17.332406997680664
401,4048,8,17.393261909484863
402,3312,8,17.445307731628418
403,6620,9,17.528618812561035
404,1488,7,17.556724786758423
405,3908,8,17.614614009857178
406,1784,7,17.646787881851196
407,3072,8,17.69407892227173
408,1412,7,17.720561742782593
409,2240,7,17.759161949157715
